size,waist,thigh,hem,outseam,model,brand,price,salerate,realprice,modelDetail,sex
78,80,55,31.8,98,1802550988,SPAO,39900,70,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
80,82.5,56.5,32.4,98.5,1802550988,SPAO,39900,70,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
82,85,58,33,99,1802550988,SPAO,39900,70,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
84,87.5,59.5,33.6,99.5,1802550988,SPAO,39900,70,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
86,90,61,34.2,100,1802550988,SPAO,39900,70,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
88,92.5,62.5,34.8,100.5,1802550988,SPAO,39900,70,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
74,75,55,28.2,99,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
76,77.5,56.5,29.4,99.5,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
78,80,58,30.6,100,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
80,82.5,59.5,31.8,100.5,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
82,85,61,33,101,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
84,87.5,62.5,34.2,101.5,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
86,90,64,35.4,102,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
88,92.5,65.5,36.6,102.5,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
90,95,67,37.8,103,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
74,75,57,30.6,95,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
76,77.5,58.5,31.2,95.5,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
78,80,60,31.8,96,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
80,82.5,61.5,32.4,96.5,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
82,85,63,33.0,97,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
84,87.5,64.5,33.6,97.5,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
86,90,66,34.2,98,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
88,92.5,67.5,34.8,98.5,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
90,95,69,35.4,99,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
74,75,53,32.6,102,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
76,77.5,54.5,33.2,102.5,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
78,80,56,33.8,103,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
80,82.5,57.5,34.4,103.5,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
82,85,59,35,104,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
84,87.5,60.5,35.6,104.5,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
86,90,62,36.2,105,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
