size,waist,thigh,hem,outseam,model,brand,price,salerate,realprice,modelDetail
76,76.5,54.5,32.2,98.0,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C01
78,79.0,56.0,32.8,98.5,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C02
80,81.5,57.5,33.4,99.0,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C03
82,84.0,59.0,34.0,99.5,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C04
84,86.5,60.5,34.6,100.0,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C05
86,89.0,62.0,35.2,100.5,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C06
90,94.0,65.0,36.4,101.5,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C07
76,79.5,63.0,47.2,111.0,2001991022,SPAO,39900,0.2,31920,[국민상품_데일리지] 롱 와이드진_SPTJA23C53
78,82.0,64.5,47.8,111.5,2001991022,SPAO,39900,0.2,31920,[국민상품_데일리지] 롱 와이드진_SPTJA23C54
80,84.5,66.0,48.4,112.0,2001991022,SPAO,39900,0.2,31920,[국민상품_데일리지] 롱 와이드진_SPTJA23C55
82,87.0,67.5,49.0,112.5,2001991022,SPAO,39900,0.2,31920,[국민상품_데일리지] 롱 와이드진_SPTJA23C56
84,89.5,69.0,49.6,113.0,2001991022,SPAO,39900,0.2,31920,[국민상품_데일리지] 롱 와이드진_SPTJA23C57
86,92.0,70.5,50.2,113.5,2001991022,SPAO,39900,0.2,31920,[국민상품_데일리지] 롱 와이드진_SPTJA23C58
90,97.0,73.5,51.4,114.5,2001991022,SPAO,39900,0.2,31920,[국민상품_데일리지] 롱 와이드진_SPTJA23C59
76,76.5,58.0,34.2,90.0,2001991021,SPAO,39900,0.2,31920,[국민상품_데일리지] 안 줄여도 딱 맞진_SPTJA23C25
78,79.0,59.5,34.8,90.5,2001991021,SPAO,39900,0.2,31920,[국민상품_데일리지] 안 줄여도 딱 맞진_SPTJA23C26
80,81.5,61.0,35.4,91.0,2001991021,SPAO,39900,0.2,31920,[국민상품_데일리지] 안 줄여도 딱 맞진_SPTJA23C27
82,84.0,62.5,36.0,91.5,2001991021,SPAO,39900,0.2,31920,[국민상품_데일리지] 안 줄여도 딱 맞진_SPTJA23C28
84,86.5,64.0,36.6,92.0,2001991021,SPAO,39900,0.2,31920,[국민상품_데일리지] 안 줄여도 딱 맞진_SPTJA23C29
86,89.0,65.5,37.2,92.5,2001991021,SPAO,39900,0.2,31920,[국민상품_데일리지] 안 줄여도 딱 맞진_SPTJA23C30
90,94.0,68.5,38.4,93.5,2001991021,SPAO,39900,0.2,31920,[국민상품_데일리지] 안 줄여도 딱 맞진_SPTJA23C31
76,76.5,58.5,35.2,95.5,2001991020,SPAO,39900,0.2,31920,[국민상품_데일리지] 칼주름 세미테이퍼드진_SPTJA23C16
78,79.0,60.0,35.8,96.0,2001991020,SPAO,39900,0.2,31920,[국민상품_데일리지] 칼주름 세미테이퍼드진_SPTJA23C17
80,81.5,61.5,36.4,96.5,2001991020,SPAO,39900,0.2,31920,[국민상품_데일리지] 칼주름 세미테이퍼드진_SPTJA23C18
82,84.0,63.0,37.0,97.0,2001991020,SPAO,39900,0.2,31920,[국민상품_데일리지] 칼주름 세미테이퍼드진_SPTJA23C19
84,86.5,64.5,37.6,97.5,2001991020,SPAO,39900,0.2,31920,[국민상품_데일리지] 칼주름 세미테이퍼드진_SPTJA23C20
86,89.0,66.0,38.2,98.0,2001991020,SPAO,39900,0.2,31920,[국민상품_데일리지] 칼주름 세미테이퍼드진_SPTJA23C21
